doc_text,class
http://www.liquidgeneration.com/,Adult
http://geocities.com/lauratxcmc/,Home
http://www.adoptionservices.org,Home
http://www.thehostingnews.com/,Home
http://saywhatpb.comicgenesis.com/,Arts
http://www.oxfordtoday.ox.ac.uk/,Reference
http://skitrips.about.com/recreation/skitrips/library/weekly/aa123100a.htm,Home
http://www.nhmodularhomes.com,Business
http://www.fabricworkshop.org/,Business
http://www.houseofscripts.com/,Computers
http://www.agatirno.it/fenomar/,Recreation
http://www.fm96.com/,Arts
http://www.dters.com/,Business
http://www.longstonetyres.co.uk/,Business
http://www.free-porn-free-porn-pics.com/all-free-porn/,Adult
http://www.geocities.com/metanymous/index.html,Arts
http://www.sage-research.com/,Computers
http://www.milacron.com/,Business
http://www.loonygames.com/,Games
http://www.savonhealth.com/savonhealth-webapp/healthnotes.jsp?page=rxus.cfm,Health
http://www.maavs.org/,Home
http://www.chrysler.com/,Recreation
http://uk.geocities.com/barrypickup/,Business
http://www.jamara-australianshepherds.com/,Recreation
http://www.cybexintl.com,Business
http://www.horn-kg.de/,Business
http://www.grandfessier.com,Adult
http://www.potatogenome.net/,Science
http://www.osaka-med.ac.jp/deps/bcc/mbs.html,Science
http://www.doulasofvermont.org,Health
http://www.geocities.com/swcoalition/,Games
http://www.pregnancysupport.com.au/,Health
http://www.epinions.com/auto_make-mazda,Home
http://www.nhtsa.dot.gov/cars/problems/studies/1999-01-0064/1999-01-0064.html,Home
http://www.westernphotography.com/,Business
http://www.srbi.com/,Business
http://cptpicard.8m.com,Recreation
http://xoomer.alice.it/rblasina/,Arts
http://www.maleinfertilitymds.com,Health
http://kawaiispace.com/,Computers
http://www.anzwers.org/free/animeintro/daadaadaa.html,Arts
http://ubl.artistdirect.com/music/artist/card/042805300.html,Arts
http://www.classicjazzorchestra.org.uk/,Arts
http://www.voyuz.net/index.html,Recreation
http://www.stevecaseys.com/,Business
http://jugglinglab.sourceforge.net/,Arts
http://cso.ncf.ca/,Arts
http://creatures.ifas.ufl.edu/urban/termites/havilandi.htm,Science
http://www.plastipak.com/,Business
http://www.richbark.com/,Business
http://www.exontrol.com/exemail.jsp,Computers
http://www.goralmet.pl/en/index.htm,Business
http://bloomngrow.net,Health
http://www.umass.edu/arthist/pots/main.html,Arts
http://www.angelfire.com/pe/fftactics/,Games
http://www.cnhpc-michigan.com/,Health
